,PERSON_ID,DISPLAY_FIRST_LAST,TEAM_ID,TEAM_ABBREVIATION,FROM_YEAR,TO_YEAR,GREATEST_75_FLAG
351,203994,Jusuf Nurkic,1610612756,PHX,2014.0,2024.0,N
352,1629670,Jordan Nwora,1610612761,TOR,2020.0,2024.0,N
353,1626220,Royce O'Neale,1610612756,PHX,2017.0,2024.0,N
354,1629643,Chuma Okeke,1610612753,ORL,2020.0,2023.0,N
355,1629006,Josh Okogie,1610612756,PHX,2018.0,2024.0,N
356,1630168,Onyeka Okongwu,1610612737,ATL,2020.0,2024.0,N
357,1630171,Isaac Okoro,1610612739,CLE,2020.0,2024.0,N
358,203506,Victor Oladipo,1610612748,MIA,2013.0,2022.0,N
359,203482,Kelly Olynyk,1610612761,TOR,2013.0,2024.0,N
360,1630647,Eugene Omoruyi,1610612764,WAS,2021.0,2024.0,N
361,1626224,Cedi Osman,1610612759,SAS,2017.0,2023.0,N
362,1626162,Kelly Oubre Jr.,1610612755,PHI,2015.0,2024.0,N
363,101108,Chris Paul,1610612759,SAS,2005.0,2024.0,Y
364,1626166,Cameron Payne,1610612752,NYK,2015.0,2024.0,N
365,1627780,Gary Payton II,1610612744,GSW,2016.0,2024.0,N
366,1630196,Filip Petrusev,0,,2023.0,2023.0,N
367,1641763,Julian Phillips,1610612741,CHI,2023.0,2024.0,N
368,1629618,Jalen Pickett,1610612743,DEN,2023.0,2024.0,N
369,203486,Mason Plumlee,1610612756,PHX,2013.0,2024.0,N
370,1641764,Brandin Podziemski,1610612744,GSW,2023.0,2024.0,N
371,1627751,Jakob Poeltl,1610612761,TOR,2016.0,2024.0,N
372,1630197,Aleksej Pokusevski,1610612766,CHA,2020.0,2023.0,N
373,1629673,Jordan Poole,1610612764,WAS,2019.0,2024.0,N
374,1641854,Craig Porter Jr.,1610612739,CLE,2023.0,2024.0,N
375,1629008,Michael Porter Jr.,1610612743,DEN,2018.0,2024.0,N
376,203490,Otto Porter Jr.,0,,2013.0,2023.0,N
377,1626171,Bobby Portis,1610612749,MIL,2015.0,2024.0,N
378,204001,Kristaps Porzingis,1610612738,BOS,2015.0,2024.0,N
379,1630695,Micah Potter,1610612762,UTA,2021.0,2024.0,N
380,203939,Dwight Powell,1610612742,DAL,2014.0,2024.0,N
381,1626181,Norman Powell,1610612746,LAC,2015.0,2024.0,N
382,1630563,Joshua Primo,0,,2021.0,2023.0,N
383,1627752,Taurean Prince,1610612749,MIL,2016.0,2024.0,N
384,1630202,Payton Pritchard,1610612738,BOS,2020.0,2024.0,N
385,1641765,Olivier-Maxence Prosper,1610612742,DAL,2023.0,2024.0,N
386,1630243,Trevelin Queen,1610612753,ORL,2021.0,2024.0,N
387,1629674,Neemias Queta,1610612738,BOS,2021.0,2024.0,N
388,1630193,Immanuel Quickley,1610612761,TOR,2020.0,2024.0,N
389,1631311,Lester Quinones,1610612744,GSW,2022.0,2024.0,N
390,203944,Julius Randle,1610612752,NYK,2014.0,2024.0,N
391,1641871,Duop Reath,1610612757,POR,2023.0,2024.0,N
392,1630559,Austin Reaves,1610612747,LAL,2021.0,2024.0,N
393,1629629,Cam Reddish,1610612747,LAL,2019.0,2024.0,N
394,1630194,Paul Reed,1610612765,DET,2020.0,2024.0,N
395,1629675,Naz Reid,1610612750,MIN,2019.0,2024.0,N
